Open,Close
5853.98,6197.92
6197.92,6390.07
6390.07,6356.81
6356.81,6615.29
6615.29,6513.86
6513.86,6586.98
6586.98,6529.2
6529.2,6609.78
6609.78,6756.98
6756.98,6712.1
6712.1,6662.12
6662.12,6296.91
6296.91,6378.07
6378.07,6250.57
6250.57,6214.57
6214.57,6251.99
6251.99,6353.01
6353.01,6723.35
6723.35,7317.44
7317.44,7381.9
7381.9,7466.21
7466.21,7337.53
7337.53,7398.78
7398.78,7394.79
7394.79,7721.01
7721.01,8397.24
8397.24,8175.64
8175.64,7920
7920,8188.57
8188.57,8225.04
8225.04,8211
8211,8173.92
8173.92,7730.93
7730.93,7611.64
7611.64,7525.71
7525.71,7418.78
7418.78,7009.84
7009.84,7024.19
7024.19,6934.82
6934.82,6720.06
6720.06,6285
6285,6529.79
6529.79,6144.01
6144.01,6077.3
6077.3,6077.3
6308.33,6246.35
6246.35,6188.08
6188.08,6267.16
6267.16,6311.75
6311.75,6584.49
6584.49,6387.96
6387.96,6477.53
6477.53,6254.84
6254.84,6480
6480,6360.89
6360.89,6525.01
6525.01,6681.64
6681.64,6733.64
6733.64,6700
6700,6908.64
6908.64,7076.11
7076.11,7031.22
7031.22,6984.84
6984.84,7011.21
7011.21,7200.01
7200.01,7302.01
7302.01,7263.02
7263.02,7359.06
7359.06,6700
6700,6516.01
6516.01,6395.54
6395.54,6185.05
6185.05,6250.81
6250.81,6312
6312,6294.91
6294.91,6338.62
6338.62,6487.38
6487.38,6476.63
6476.63,6514.96
6514.96,6505
6505,6248.69
6248.69,6336.45
6336.45,6391.89
6391.89,6492
6492,6759.02
6759.02,6723.05
6723.05,6708
6708,6581.39
6581.39,6447.54
6447.54,6465.12
6465.12,6689.13
6689.13,6634.58
6634.58,6596.38
6596.38,6626.57
6626.57,6611.61
6611.61,6525.79
6525.79,6510
6510,6593.79
6593.79,6635.65
6635.65,6594.27
6594.27,6615.26
6615.26,6673.01
6673.01,6656.61
6656.61,6631
6631,6252.68
6252.68,6298.01
6298.01,6332.93
6332.93,6339.34
6339.34,6755.73
6755.73,6708.49
6759.27,6740.89
6740.89,6618.96
6618.96,6528.88
6528.88,6588.4
6588.4,6590.11
6590.11,6581.2
6581.2,6553.51
6553.51,6565.5
6565.5,6528.09
6528.09,6538.63
6538.63,6505.6
6505.6,6489.93
6489.93,6344.5
6344.5,6330.87
6330.87,6371.93
6371.93,6410
6410,6433.98
6433.98,6387.09
6387.09,6485.85
6485.85,6468.99
6468.99,6519.11
6519.11,6578.46
6578.46,6479.84
6479.84,6419.99
6419.99,6433.05
6433.05,6449.81
6449.81,6453.07
6453.07,6457.66
6457.66,5922.41
5922.41,5753.4
5753.4,5655.94
5655.94,5628.29
5628.29,5662
5662,4910.03
4910.03,4558.86
4558.86,4661.07
4661.07,4370
4370,4420.61
4420.61,3932.44
3932.44,4085.78
4085.78,3862.2
3862.2,3875.21
3875.21,4264.85
4264.85,4295.84
4295.84,4053.09
4041.32,4190.02
4190.02,4161.01
4161.01,3884.01
3884.01,3951.64
3951.64,3769.84
3769.84,3508.75
3508.75,3403.55
3403.55,3410.93
3410.93,3545.37
3545.37,3432.88
3432.88,3389.69
3380.39,3445
3445,3302.06
3302.06,3224.17
3224.17,3211.72
3211.72,3228.67
3228.67,3509.08
3509.08,3652.98
3652.98,3662.22
3662.22,4049.62
4049.62,3838.66
3838.66,3948.91
3948.91,3929.71
3929.71,4008.01
4008.01,3745.79
3745.79,3777.74
3777.74,3567.91
3567.91,3839.26
3839.26,3695.32
3695.32,3801.91
3801.91,3702.9
3702.9,3797.14
3797.14,3858.56
3858.56,3766.78
3766.78,3792.01
3792.01,3770.96
3770.96,3987.6
3987.6,3975.45
3975.45,3955.13
3955.13,3966.65
3966.65,3585.88
3585.88,3601.31
3601.31,3583.13
3583.13,3476.81
3476.81,3626.09
3626.09,3553.06
3553.06,3591.84
3591.84,3616.21
3616.21,3594.87
3594.87,3665.3
3665.3,3539.28
3539.28,3526.9
3526.9,3570.93
3570.93,3552.82
3552.82,3569.62
3569.62,3565.29
3565.29,3565.25
3565.25,3550.84
3550.84,3434.15
3434.15,3411.04
3411.04,3458.18
3458.18,3434.1
3434.1,3462.07
3462.07,3504.77
3504.77,3458.11
3458.11,3463.22
3463.22,3471.59
3471.59,3405.37
3405.37,3398.4
3398.4,3659.04
3659.04,3665.18
3665.18,3680.06
3680.06,3631.05
3631.05,3631.46
3631.46,3609.4
3609.4,3590.56
3590.56,3602.47
3602.47,3618.41
3618.41,3667.58
3667.58,3898.6
3898.6,3907.79
3907.79,3969.74
3969.74,3937.31
3937.31,3962
3962,4117.76
4117.76,3743.56
3743.56,3827.92
3827.92,3809.23
3809.23,3818.07
3818.07,3813.69
3813.69,3823
3823,3819.93
3819.93,3807.75
3807.75,3715.3
3715.3,3857.73
3857.73,3861.84
3861.84,3873.64
3873.64,3864.89
3864.89,3943.04
3943.04,3916.82
3916.82,3871.61
3871.61,3882.73
3882.73,3866
3866,3877.12
3877.12,3923.76
3923.76,4005.98
4005.98,3981.14
3981.14,3987.81
3987.81,3998.9
4103.95,4144.56
4144.56,4857.29
4857.29,4932.6
4932.6,4898.66
4898.66,5004.95
5004.95,5043.89
5043.89,5170.27
5170.27,5236.9
5236.9,5150
5150,5308.25
5308.25,5017.37
5017.37,5048.01
5048.01,5045.22
5045.22,5131.3
5131.3,5024.95
5024.95,5173.72
5173.72,5202.82
5202.82,5258.44
5258.44,5258.68
5258.68,5291.73
5291.73,5256.14
5256.14,5357.14
5357.14,5493.31
5493.31,5415
5415,5219.9
5219.9,5314.1
5314.1,5295.69
5295.69,5307.52
5307.52,5238.14
5238.14,5320.81
5320.81,5383.2
5383.2,5492.87
5492.87,5772.69
5772.69,5829.45
5829.45,5775.62
5775.62,5747.79
5747.79,5962.16
5846.34,5987.29
5987.29,6209.18
6209.18,6373.33
6373.33,7076.22
7076.22,6967.31
6967.31,7790.71
7790.71,7947.56
7947.56,8169.87
8169.87,7866.59
7866.59,7355.26
7355.26,7257.45
7257.45,8148.48
8148.48,7938.15
7938.15,7904.87
7904.87,7628.43
7628.43,7851.51
7851.51,7964.87
7964.87,8025.41
8025.41,8614.43
8614.43,8756.32
8756.32,8715.64
8715.64,8645.68
8645.68,8269.54
8269.54,8555
8555,8544.07
8544.07,8725.98
8725.98,8115.82
8115.82,7687.03
7687.03,7776.5
7776.5,7786.7
7786.7,7980.53
7980.53,7893.62
7893.62,7628.13
7628.13,7982.75
7982.75,7884.9
7884.9,8127.64
8127.64,8218.54
8218.54,8650
8650,8808.7
8808.7,8953.33
8953.33,9313.96
9313.96,9081.55
9081.55,9255.49
9255.49,9517.12
9517.12,10159.86
10159.86,10729.5
10729.5,10906.07
10906.07,11056.59
11056.59,11820.86
11820.86,12666.45
13299.99,11329.99
11329.99,12400.63
12400.63,11903.13
11903.13,10854.1
10854.1,10624.93
10624.93,10842.85
10842.85,11940
11940,11145.67
11145.67,10970.73
10970.73,11256.49
11256.49,11406.24
11406.24,12238.6
12238.6,12543.41
12543.41,12108.37
12108.37,11342.89
11342.89,11757.22
11757.22,11355.76
11355.76,10174.18
10174.18,10838.72
10838.72,9439.59
9439.59,9667.92
9667.92,10627.16
10627.16,10504.29
10504.29,10740.23
10740.23,10589.45
10589.45,10340.31
10340.31,9864.91
9864.91,9763.28
9763.28,9879.87
9879.87,9824
9824,9476.52
9476.52,9541.54
9541.54,9507.64
9507.64,9574.21
9574.21,10080.53
10080.53,10374.99
10374.99,10523.75
10523.75,10816.86
10816.86,10929.23
10929.23,11828.8
11828.8,11481.69
11481.69,11975.03
11975.03,11999.77
11999.77,11879.99
11879.99,11309.31
11309.31,11549.97
